Ign,Team,ACS,Matches,vlr.Rnd,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
Theia,Fenerbah̤e Esports,190,8,183,0.77,0.62,130.2,0.61,0.18,0.12,0.2,0.19,0.22,23,112,145,33,22,36
Mykoz,Fenerbah̤e Esports,187,16,350,0.84,0.65,123,0.65,0.26,0.09,0.11,0.29,0.18,26,226,268,91,31,38
p0wa77,Futbolist,187,16,328,0.98,0.71,123.3,0.66,0.26,0.07,0.11,0.32,0.21,22,217,221,86,23,37
SoyeR,Fenerbah̤e Esports,186,6,118,0.86,0.59,125.5,0.66,0.13,0.08,0.12,0.3,0.13,22,78,91,15,10,14
gosaydam,Galatasaray Esports,184,18,412,0.84,0.63,121.2,0.63,0.22,0.12,0.17,0.19,0.07,24,260,308,92,51,70
Maiko,Thunderbolts Gaming,182,6,135,0.79,0.64,116.7,0.63,0.2,0.06,0.1,0.23,0.15,22,85,108,27,8,14
Marw0ll,Galakticos,181,6,139,0.84,0.68,118,0.62,0.32,0.08,0.12,0.29,,27,86,102,45,11,16
Iroh,Galatasaray Esports,181,18,412,0.85,0.7,117.6,0.61,0.34,0.08,0.08,0.21,0.14,21,251,294,142,31,31
jeyj7y,Surreal Esports,181,24,528,0.91,0.74,120.9,0.61,0.39,0.07,0.1,0.28,0.3,25,322,355,208,37,53
m1tez,Galakticos,171,12,251,0.82,0.63,111.4,0.6,0.25,0.08,0.12,0.31,0.05,24,150,184,64,20,29
SasuKe,Galakticos,171,18,390,0.77,0.66,117.8,0.57,0.28,0.05,0.1,0.28,0.12,22,224,290,108,19,40
SHALZ,Fenerbah̤e Esports,163,14,309,0.72,0.67,115.4,0.52,0.31,0.03,0.06,0.26,0.17,21,161,224,95,9,19
logicman,Team Lixa,154,11,232,0.72,0.64,102.7,0.54,0.21,0.05,0.09,0.32,0.12,18,126,176,49,12,22
Ros̩,Fire Flux Esports,136,2,44,0.58,0.73,99.3,0.43,0.27,0.02,0.05,0.15,0.5,10,19,33,12,1,2
corr0,Thunderbolts Gaming,134,17,346,0.66,0.68,85.9,0.47,0.38,0.04,0.07,0.18,0.11,16,163,248,130,13,24
afr0nfire,Surreal Esports,125,1,21,0.75,0.76,85.3,0.43,0.33,0.1,0.19,0.14,,9,9,12,7,2,4
